datetime,Unnamed: 0,open,high,low,close,volume,HA_close,HA_open,HA_high,HA_low,RSI,MACD,MACD_Signal,MACD_Hist,ema_05,ema_10,ema_30,ATR,signals,trade_type
2019-09-29,21,8199.0,8226.35,7888.98,8041.96,35966.056,8089.072499999999,8186.82,8226.35,7888.98,11.623180412789623,,,,8356.197448393921,8812.105259680124,,444.2141441475428,0,Hold
2019-09-30,22,8042.08,8331.89,7709.01,8285.84,54412.52,8092.205,8120.48,8331.89,7709.01,11.773501076164422,,,,8268.199965595948,8681.214303374647,,456.97599099414685,0,Hold
2019-10-01,23,8285.31,8499.0,8171.0,8290.0,39212.804,8311.3275,8163.96,8499.0,8163.96,21.794237678349035,,,,8282.575810397298,8613.962157306529,,453.391634494565,0,Hold
2019-10-02,24,8290.0,8365.92,8149.35,8352.14,30329.179,8289.352499999999,8287.654999999999,8365.92,8149.35,21.53013431421917,,,,8284.834706931531,8554.942219614431,,436.4758034592389,0,Hold
2019-10-03,25,8353.4,8386.0,8020.0,8220.27,33430.23,8244.9175,8321.07,8386.0,8020.0,20.976595302412946,-544.9834841645788,,,8271.528971287687,8498.574088775444,,431.44181749786463,0,Hold
2019-10-04,26,8219.95,8227.42,7979.95,8130.56,28421.111,8139.470000000001,8286.835,8286.835,7979.95,19.68330700477253,-541.752162102679,,,8227.509314191793,8433.282436270818,,422.54490196230284,0,Hold
2019-10-05,27,8130.0,8175.0,8010.0,8122.14,30262.006,8109.285,8175.255000000001,8175.255000000001,8010.0,19.31617598745649,-535.4546059333534,,,8188.101209461196,8374.373811494304,,404.16705182213843,0,Hold
2019-10-06,28,8122.01,8148.43,7760.0,7852.79,41909.039,7970.807500000001,8126.07,8148.43,7760.0,17.686375063823334,-535.4652145649834,,,8115.669972974132,8300.99811849534,,403.0429766919857,0,Hold
2019-10-07,29,7851.01,8330.0,7764.42,8186.88,62760.299,8033.0775,7987.4,8330.0,7764.42,20.917674268434112,-524.403951076205,,,8088.139148649422,8252.285278768913,8970.41489944665,414.6527640711296,0,Hold
2019-10-08,30,8188.55,8322.01,8103.88,8167.62,44715.165,8195.515000000001,8018.945,8322.01,8018.945,28.772641851454722,-496.80362838754627,,,8123.931099099616,8241.963409901839,8920.421357546868,406.6822094946204,0,Hold
2019-10-09,31,8168.33,8700.0,8113.0,8559.77,65453.643,8385.275000000001,8178.085,8700.0,8113.0,36.68449305131896,-454.3803142766301,,,8211.045732733079,8268.020062646958,8885.895786092231,419.5620516735761,0,Hold
2019-10-10,32,8559.77,8640.89,8419.34,8556.02,44285.668,8544.005000000001,8364.05,8640.89,8364.05,42.4437058499751,-403.30232955410065,,,8322.032155155386,8318.199142165693,8863.838316021765,409.36761941117777,0,Hold
2019-10-11,33,8557.0,8788.0,8210.0,8255.58,69157.964,8452.645,8557.895,8788.0,8210.0,40.17839710254387,-365.975904719593,-467.0373767720966,101.06147205250358,8365.569770103592,8342.643843590113,8837.309714988103,421.41278945323654,0,Hold
2019-10-12,34,8255.54,8397.45,8248.34,8300.22,37761.514,8300.3875,8406.29,8406.29,8248.34,36.666137889608244,-344.7067866330726,-442.5712587442918,97.86447211121919,8343.842346735728,8334.960872028274,8802.669572085646,405.9050902065768,0,Hold
2019-10-13,35,8300.31,8456.0,8137.3,8274.66,43820.913,8292.0675,8277.880000000001,8456.0,8137.3,36.478482934232424,-324.7783689113494,-419.0126807777034,94.234311866354,8326.584064490486,8327.162077114042,8769.727502918831,399.6761551918213,0,Hold
2019-10-14,36,8274.33,8381.77,8205.02,8346.05,61999.821,8301.7925,8287.485,8381.77,8205.02,36.885092681902485,-304.6879747543135,-396.14773957302543,91.45976481871196,8318.320209660324,8322.54942672967,8739.53814789181,383.75285839240547,0,Hold
2019-10-15,37,8346.31,8408.62,8080.0,8160.01,86246.749,8248.735,8310.189999999999,8408.62,8080.0,35.54814111153044,-289.70791694177205,-374.85977504677476,85.1518581050027,8295.12513977355,8309.12862186973,8707.873428672985,379.81479707866225,0,Hold
2019-10-16,38,8160.55,8184.0,7900.24,7992.21,70434.452,8059.25,8253.16,8253.16,7900.24,31.198870724278777,-289.7855022232088,-357.8449204820616,68.05941825885276,8216.500093182367,8263.696145166141,8666.026755855373,377.89374014447213,0,Hold
