datetime,close,high,low,open,signals
2019-12-29 06:00:00,128.36,128.78,127.94,128.04,1.0
2019-12-31 16:00:00,129.32,130.51,128.63,129.61,-1.0
2020-01-04 10:00:00,133.71,134.1,132.95,134.06,1.0
2020-01-08 18:00:00,137.9,140.0,137.9,138.77,-1.0
2020-01-14 00:00:00,147.48,148.57,143.49,143.57,1.0
2020-01-14 18:00:00,165.63,171.0,162.0,164.14,-1.0
2020-01-21 10:00:00,168.13,168.81,166.65,166.92,1.0
2020-01-21 14:00:00,168.27,169.23,168.04,169.04,-1.0
2020-01-26 08:00:00,162.52,163.84,161.01,161.38,1.0
2020-01-26 10:00:00,163.3,163.5,162.13,162.48,-1.0
2020-01-26 16:00:00,166.46,166.77,163.24,163.48,1.0
2020-02-04 08:00:00,185.85,188.6,185.5,188.42,-1.0
2020-02-05 10:00:00,197.88,198.31,191.24,191.53,1.0
2020-02-10 10:00:00,219.18,221.3,217.84,220.18,-1.0
2020-02-12 00:00:00,246.06,249.29,237.17,237.17,1.0
2020-02-16 14:00:00,259.43,268.7,256.38,267.09,-1.0
2020-02-17 22:00:00,268.0,268.81,258.8,259.84,1.0
2020-02-18 08:00:00,264.89,269.17,262.44,268.93,-1.0
2020-02-18 14:00:00,273.97,275.32,261.78,263.33,1.0
2020-02-19 20:00:00,262.71,277.99,250.0,277.08,-1.0
2020-03-06 10:00:00,240.1,241.6,235.62,236.34,1.0
2020-03-08 02:00:00,231.86,233.77,229.56,232.94,-1.0
2020-04-02 14:00:00,139.27,139.89,136.3,136.5,1.0
2020-04-10 02:00:00,163.36,168.97,162.7,168.8,-1.0
2020-04-16 06:00:00,164.52,169.18,153.03,153.06,1.0
2020-04-20 16:00:00,173.92,180.1,172.82,179.4,-1.0
2020-04-29 16:00:00,215.29,219.5,208.88,209.81,1.0
2020-04-29 18:00:00,216.03,216.65,211.5,215.3,-1.0
2020-05-29 08:00:00,219.75,223.75,219.16,221.51,1.0
2020-06-03 02:00:00,235.86,237.73,234.6,236.9,-1.0
2020-06-22 20:00:00,242.99,247.0,242.32,242.34,1.0
2020-06-24 14:00:00,232.12,239.17,231.0,238.62,-1.0
2020-07-06 22:00:00,241.63,242.32,238.27,238.79,1.0
2020-07-09 22:00:00,242.01,242.26,240.84,241.88,-1.0
2020-07-21 18:00:00,245.41,246.87,244.27,244.44,1.0
2020-08-07 14:00:00,385.75,394.58,371.0,394.46,-1.0
2020-08-13 10:00:00,394.44,398.5,383.29,386.67,1.0
2020-08-16 02:00:00,427.4,430.75,426.65,430.7,-1.0
2020-09-01 04:00:00,456.33,456.42,442.16,443.86,1.0
2020-09-02 18:00:00,436.2,437.96,428.79,431.99,-1.0
2020-09-17 00:00:00,379.5,385.37,363.1,364.97,1.0
2020-09-20 12:00:00,373.27,379.49,370.0,379.37,-1.0
2020-09-24 14:00:00,344.25,345.5,335.5,336.83,1.0
2020-09-24 16:00:00,345.78,349.0,342.9,344.23,-1.0
2020-10-12 12:00:00,384.05,385.87,366.03,366.42,1.0
2020-10-14 14:00:00,375.92,387.72,375.0,386.69,-1.0
2020-10-21 12:00:00,385.25,386.25,377.75,379.63,1.0
2020-10-26 06:00:00,405.29,407.73,404.54,407.15,-1.0
2020-11-04 06:00:00,378.09,385.0,375.71,383.43,1.0
2020-11-04 08:00:00,380.62,382.43,376.65,378.09,-1.0
2020-11-04 16:00:00,400.74,408.99,383.0,383.58,1.0
2020-11-10 14:00:00,443.44,448.26,440.5,447.66,-1.0
2020-11-18 14:00:00,474.12,477.06,463.5,475.56,1.0
2020-11-25 04:00:00,590.17,590.82,580.0,585.63,-1.0
2020-12-16 22:00:00,637.8,640.47,627.91,629.87,1.0
2020-12-20 20:00:00,632.53,659.0,628.0,650.78,-1.0
2020-12-27 20:00:00,679.3,706.73,660.51,706.7,1.0
2021-01-01 16:00:00,729.02,738.43,727.5,736.11,-1.0
