datetime,Unnamed: 0,open,high,low,close,volume,signals,HA_close,HA_open,HA_high,HA_low,RSI,MACD,MACD_Signal,MACD_Hist,ema_10,ema_30,ema_200,ema_20,ATR,ADX,ADX_Pos,ADX_Neg,PSAR,trade_type
2019-09-26,18,8428.15,8464.4,7700.67,8060.15,60065.945,0,8163.342500000001,8461.695,8464.4,7700.67,8.680116318266414,,,,9387.129801967418,,,,467.65700115651214,0.0,2.517770463782697,43.78812796818622,10159.682599606738,
2019-09-27,19,8061.98,8260.0,7851.94,8176.52,40034.653,0,8087.61,8244.15,8260.0,7851.94,8.368636955782833,,,,9150.853474336978,,,9579.094478741525,463.4000725024756,0.0,2.358183919131779,41.01265810717422,9962.961591638199,
2019-09-28,20,8178.26,8311.0,8001.14,8195.38,33820.919,0,8171.445,8119.25,8311.0,8001.14,12.12773216568253,,,,8972.779206275709,,,9445.032623623285,452.4329244665845,0.0,3.053056518582751,38.9916063343193,9781.978264307143,
2019-09-29,21,8199.0,8226.35,7888.98,8041.96,35966.056,0,8089.072499999999,8186.82,8226.35,7888.98,11.623180412789623,,,,8812.105259680124,,,9315.893564230591,444.2141441475428,0.0,2.886284100335069,38.67772121103331,9615.47360316257,
2019-09-30,22,8042.08,8331.89,7709.01,8285.84,54412.52,0,8092.205,8120.48,8331.89,7709.01,11.773501076164422,,,,8681.214303374647,,,9199.35179620863,456.97599099414685,0.0,2.6035149266940407,37.71913250177722,9462.289314909565,
2019-10-01,23,8285.31,8499.0,8171.0,8290.0,39212.804,0,8311.3275,8163.96,8499.0,8163.96,21.794237678349035,,,,8613.962157306529,,,9114.77805371257,453.391634494565,0.0,5.083799117186279,35.28764749784594,9321.3597697168,
2019-10-02,24,8290.0,8365.92,8149.35,8352.14,30329.179,0,8289.352499999999,8287.654999999999,8365.92,8149.35,21.53013431421917,,,,8554.942219614431,,,9036.166096216135,436.4758034592389,0.0,4.902604966367084,34.270383882627854,9191.704588139457,
2019-10-03,25,8353.4,8386.0,8020.0,8220.27,33430.23,0,8244.9175,8321.07,8386.0,8020.0,20.976595302412946,-544.9834841645788,,,8498.574088775444,,,8960.809087052694,431.44181749786463,0.0,4.603960253504303,34.33563330475561,9072.421821088301,
2019-10-04,26,8219.95,8227.42,7979.95,8130.56,28421.111,0,8139.470000000001,8286.835,8286.835,7979.95,19.68330700477253,-541.752162102679,,,8433.282436270818,,,8882.5863168572,422.54490196230284,0.0,4.363920056190688,33.225873571174375,8962.681675401236,
2019-10-05,27,8130.0,8175.0,8010.0,8122.14,30262.006,0,8109.285,8175.255000000001,8175.255000000001,8010.0,19.31617598745649,-535.4546059333534,,,8374.373811494304,,,8808.938572394609,404.16705182213843,80.79663184553428,4.235847420319913,32.25075827286987,8861.720741369138,
